MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,Run,fill_rate,cost,lost_demand,bullwhip
15,3,60,DQN,22,95.08531157270028,101132.0,265,16.934521166268436
15,3,60,DQN,23,96.01267002049562,102364.5,214,18.07028804251127
15,3,60,DQN,24,94.7495361781076,101423.0,283,17.552216818856405
15,3,60,DQN,25,94.92740305090976,103614.0,276,17.691715855395437
15,3,60,DQN,26,94.75966750993857,102616.0,290,17.45788165344978
15,3,60,DQN,27,94.36771300448432,101874.0,314,17.379237779559297
15,3,60,DQN,28,93.75112551773816,102039.5,347,16.877913139987665
15,3,60,DQN,29,93.96901512357064,101563.0,327,17.175045065896484
15,3,90,DQN,0,85.64292321924144,116806.0,776,22.709723289147405
15,3,90,DQN,1,86.42542248346804,118652.0,739,22.95137244188863
15,3,90,DQN,2,87.40577312005884,116659.5,685,23.407801887751837
15,3,90,DQN,3,87.54578754578755,115940.5,680,23.33071498770972
15,3,90,DQN,4,86.3586956521739,115193.0,753,23.754915080721187
15,3,90,DQN,5,86.48794530406622,117071.5,751,22.491521028401216
15,3,90,DQN,6,87.3594486760972,115835.0,697,23.532316887095615
15,3,90,DQN,7,86.32558139534883,115508.5,735,23.126923040854063
15,3,90,DQN,8,86.84872439813151,116809.5,732,22.96815454275808
15,3,90,DQN,9,87.30390368478658,116047.0,696,23.266065722937707
15,3,90,DQN,10,87.18783930510315,115800.0,708,23.08198176130353
15,3,90,DQN,11,87.2926162260711,116900.5,697,23.252888340228456
15,3,90,DQN,12,86.82917955248317,115910.0,724,22.92126468597509
15,3,90,DQN,13,87.21570066030814,116228.5,697,23.187374671459157
15,3,90,DQN,14,88.39155749636099,117442.5,638,22.2835915808845
15,3,90,DQN,15,87.66174594496081,115788.0,677,23.407801887751837
15,3,90,DQN,16,87.09190413285526,115830.0,684,23.6822864433861
15,3,90,DQN,17,86.62603083542488,118042.5,746,22.68756740250368
15,3,90,DQN,18,85.79576816927323,115628.5,772,23.344009210017308
15,3,90,DQN,19,85.90222222222222,115176.5,793,23.56281190690704
15,3,90,DQN,20,87.37933500178762,117248.5,706,22.99694976524137
15,3,90,DQN,21,85.0053744177714,116376.5,837,22.771886813538355
15,3,90,DQN,22,85.39098436062558,115049.0,794,22.856497234177755
15,3,90,DQN,23,86.87774524158127,116139.0,717,22.98906052308976
15,3,90,DQN,24,84.68192467111191,117269.0,850,22.6476653290178
15,3,90,DQN,25,84.67313678813404,114598.0,837,23.52311812627497
15,3,90,DQN,26,86.96673897324656,116821.0,721,23.220262363390358
15,3,90,DQN,27,87.06942236354,115869.0,732,23.50678545190418
15,3,90,DQN,28,85.6297093649085,114668.0,801,23.620877015633383
15,3,90,DQN,29,84.95852534562212,115513.5,816,23.312208400034635
15,7,10,DQN,0,98.12050856826976,130704.5,102,17.280701110996514
15,7,10,DQN,1,98.1498442938267,130945.0,101,17.461464241894067
15,7,10,DQN,2,98.6065273193986,131164.5,76,17.181963395992895
15,7,10,DQN,3,97.66007618356612,133015.5,129,16.62436616113787
15,7,10,DQN,4,98.75406283856988,132246.0,69,16.39400409412901
15,7,10,DQN,5,98.04241435562804,131399.5,108,17.014411855726074
15,7,10,DQN,6,97.95549122489597,132652.5,113,16.66495268599709
15,7,10,DQN,7,97.50692520775624,130631.5,135,17.550078469029526
15,7,10,DQN,8,98.83093525179856,131219.0,65,17.106804852235125
15,7,10,DQN,9,97.20434062902336,131044.5,152,17.736984326487434
15,7,10,DQN,10,98.1063364894392,132306.0,104,16.26545293034323
15,7,10,DQN,11,98.59104690565364,132296.0,79,16.833753068892193
15,7,10,DQN,12,97.79145546705286,131572.0,122,16.773747460410892
15,7,10,DQN,13,97.5172671271234,130436.5,133,17.124200888890186
15,7,10,DQN,14,97.2033118675253,132587.5,152,16.77419494530367
15,7,10,DQN,15,98.8207112585222,130956.0,64,17.195500698175735
15,7,10,DQN,16,97.59279676589487,131290.5,131,17.445695349643245
15,7,10,DQN,17,96.90702440842183,130415.5,166,17.25534466106052
15,7,10,DQN,18,98.9004947773502,131760.5,60,17.181963395992895
15,7,10,DQN,19,97.91741472172352,131980.0,116,16.454938363898684
15,7,10,DQN,20,97.33976075700768,132274.0,149,16.86879373025988
15,7,10,DQN,21,98.5612820979785,131704.5,79,16.454938363898684
15,7,10,DQN,22,98.0888241718238,133577.5,105,16.138823534271936
15,7,10,DQN,23,98.84539058271696,132570.0,64,16.30171520297263
15,7,10,DQN,24,97.9816513761468,132571.0,110,16.234119367498998
15,7,10,DQN,25,97.7930535455861,132695.5,122,15.912596699506604
15,7,10,DQN,26,98.26401446654612,131787.0,96,17.033371224890246
15,7,10,DQN,27,98.29907866761162,131822.5,96,16.454938363898684
15,7,10,DQN,28,98.72210223182144,130881.0,71,16.930383731277228
15,7,10,DQN,29,97.80380673499268,131342.5,120,16.64933107313808
15,7,30,DQN,0,100.0,134148.0,0,10.85832843619809
15,7,30,DQN,1,100.0,135499.0,0,10.734809237014929
15,7,30,DQN,2,100.0,135538.0,0,11.24378577076012
15,7,30,DQN,3,100.0,134121.5,0,10.508197659549776
15,7,30,DQN,4,100.0,133766.0,0,10.82602083943417
15,7,30,DQN,5,100.0,132407.0,0,10.684697339665624
15,7,30,DQN,6,100.0,134647.5,0,10.384127886634117
15,7,30,DQN,7,100.0,133408.0,0,10.634819850708393
15,7,30,DQN,8,100.0,134247.5,0,7.593375285104055
15,7,30,DQN,9,100.0,134974.5,0,9.821449712771487
15,7,30,DQN,10,100.0,134174.0,0,11.066481122791853
15,7,30,DQN,11,100.0,134467.0,0,10.409516843169904
15,7,30,DQN,12,100.0,134687.5,0,11.369918028144395
15,7,30,DQN,13,100.0,133471.0,0,10.260020968526238
15,7,30,DQN,14,100.0,134580.0,0,9.87188844763184
15,7,30,DQN,15,100.0,133925.5,0,10.031787845319048
15,7,30,DQN,16,100.0,133849.0,0,10.53008034661114
15,7,30,DQN,17,100.0,134647.5,0,9.87606949186994
15,7,30,DQN,18,100.0,134253.5,0,10.287905316880344
15,7,30,DQN,19,100.0,133268.0,0,10.682940922177362
15,7,30,DQN,20,100.0,133544.0,0,10.766344796237512
15,7,30,DQN,21,100.0,135488.0,0,10.570751600117209
15,7,30,DQN,22,100.0,134397.5,0,10.564477348529298
15,7,30,DQN,23,100.0,134193.0,0,8.317223434963408
15,7,30,DQN,24,100.0,134304.0,0,9.723390214208823
15,7,30,DQN,25,100.0,134200.5,0,10.897315521817076
15,7,30,DQN,26,100.0,133706.5,0,10.33824644044211
15,7,30,DQN,27,100.0,133995.0,0,10.543496660215812
15,7,30,DQN,28,100.0,132659.0,0,10.223253805475856
15,7,30,DQN,29,100.0,134981.5,0,10.36302350707404
15,7,60,DQN,0,95.22388059701493,129386.5,256,15.656281784540829
15,7,60,DQN,1,95.06015311702517,131002.0,271,16.479628553240143
15,7,60,DQN,2,96.89737470167064,130468.5,169,15.988361313912757
15,7,60,DQN,3,95.31447107586952,129929.0,260,16.81032724310837
15,7,60,DQN,4,94.47952372361536,129855.5,306,16.9925603434108
15,7,60,DQN,5,92.81556929792652,127270.5,395,16.748221058167587
15,7,60,DQN,6,95.12731269463272,128926.5,266,16.39934488147133
15,7,60,DQN,7,93.56122264423946,128955.5,356,16.516178041889805
15,7,60,DQN,8,95.3584973812534,129127.0,257,16.59310720164752
15,7,60,DQN,9,95.93871146390993,130350.0,220,16.66938115131224
15,7,60,DQN,10,93.90288426433004,129050.0,334,15.91220360467524
15,7,60,DQN,11,94.35916404660624,129588.0,305,16.620603136303423
15,7,60,DQN,12,94.16803353380718,129982.0,320,15.74790453215721
15,7,60,DQN,13,93.75684556407448,128948.5,342,16.90931145586073
15,7,60,DQN,14,95.95439499816108,129305.5,220,16.05543346555335
15,7,60,DQN,15,94.60550458715596,129075.5,294,16.414518484831795
15,7,60,DQN,16,95.2169898430286,129554.0,259,16.32050601604477
15,7,60,DQN,17,96.3670064874884,129083.0,196,16.045378821407954
15,7,60,DQN,18,95.1224001472483,129425.5,265,16.183565740823965
15,7,60,DQN,19,94.83482387296952,129204.5,283,16.355422453209318
15,7,60,DQN,20,93.25761672976384,129231.0,374,16.811815567583
15,7,60,DQN,21,95.81566820276498,130614.5,227,16.284516056329117
15,7,60,DQN,22,95.63683624210915,129595.0,235,16.143706301316893
15,7,60,DQN,23,95.7665285534138,128857.5,235,16.783142137611154
15,7,60,DQN,24,95.4104955202048,129762.0,251,16.661949667144366
15,7,60,DQN,25,94.11334552102376,129326.0,322,16.501022105647166
15,7,60,DQN,26,95.11029411764706,129013.0,266,16.389959197463757
15,7,60,DQN,27,96.0836434520645,129066.5,221,16.183565740823965
15,7,60,DQN,28,93.46488052136134,128988.5,361,16.549699021035714
15,7,60,DQN,29,95.79335793357934,129732.5,228,16.827063303597612
15,7,90,DQN,0,87.24556489262372,126546.5,683,10.680012917791268
15,7,90,DQN,1,87.63840987475041,128596.5,681,10.684580254149246
15,7,90,DQN,2,88.33948339483395,127691.5,632,10.42500854448386
15,7,90,DQN,3,86.4424968699696,127615.5,758,11.037050144248594
15,7,90,DQN,4,85.27354260089686,126946.0,821,11.268126004985351
15,7,90,DQN,5,85.58967835725969,125049.0,793,11.201426067965157
15,7,90,DQN,6,86.21706283397825,126759.5,748,11.020034979590491
15,7,90,DQN,7,84.88455988455989,126931.0,838,11.193605480495014
15,7,90,DQN,8,86.40969960188201,126362.5,751,11.117910390190168
15,7,90,DQN,9,87.78640059127864,126577.0,661,10.856600109372271
15,7,90,DQN,10,85.12486427795875,127136.0,822,11.255128867086528
15,7,90,DQN,11,86.74875941922441,126176.0,721,11.443837037571392
15,7,90,DQN,12,87.33223018937305,126483.0,689,11.037050144248592
15,7,90,DQN,13,87.03875394029296,125783.5,699,11.334102314416429
15,7,90,DQN,14,87.20569446979376,126940.0,701,10.726065303151524
15,7,90,DQN,15,86.8440502586844,126900.5,712,10.878931947473436
15,7,90,DQN,16,86.27958579881657,126266.0,742,10.91681414952778
15,7,90,DQN,17,89.28904646389252,125784.0,574,10.36917836118935
15,7,90,DQN,18,86.66297731045933,126510.5,723,11.045547897424004
15,7,90,DQN,19,86.15300745048155,126960.0,762,11.2626845845936
15,7,90,DQN,20,86.2547288776797,126820.0,763,11.1736941875308
15,7,90,DQN,21,86.94617356279751,127681.5,713,11.115659709898637
15,7,90,DQN,22,87.1961402857673,126452.5,690,11.078457470636064
15,7,90,DQN,23,86.59498207885305,125905.5,748,11.119485595337707
15,7,90,DQN,24,86.640940830577,126846.5,727,11.1048500947873
15,7,90,DQN,25,85.72479764532744,127306.5,776,10.821628803724376
15,7,90,DQN,26,87.13235294117648,126201.0,700,10.675560813087175
15,7,90,DQN,27,86.9943222143364,126611.5,733,10.895019271391892
15,7,90,DQN,28,85.15810637908974,126639.5,812,11.09504478428306
15,7,90,DQN,29,88.72977496745396,126375.5,606,10.854179989473442
15,14,10,DQN,0,100.0,129419.5,0,21.788603187755285
15,14,10,DQN,1,100.0,118313.0,0,27.66105875620735
15,14,10,DQN,2,100.0,100428.0,0,29.06985738689479
15,14,10,DQN,3,100.0,88749.0,0,24.755664702944127
15,14,10,DQN,4,100.0,108340.5,0,28.78907620719101
15,14,10,DQN,5,100.0,112038.5,0,28.233670969133986
15,14,10,DQN,6,100.0,87757.5,0,25.521005052316028
15,14,10,DQN,7,100.0,85021.5,0,24.138266464789663
15,14,10,DQN,8,100.0,109742.0,0,29.373900765177694
15,14,10,DQN,9,100.0,107831.5,0,29.018988742501957
15,14,10,DQN,10,100.0,102381.5,0,28.811099242212716
15,14,10,DQN,11,100.0,112943.0,0,28.575486937997518
15,14,10,DQN,12,100.0,89066.0,0,25.65852523885413
15,14,10,DQN,13,100.0,83739.5,0,23.7663929460247
15,14,10,DQN,14,100.0,98290.0,0,29.349273775432767
15,14,10,DQN,15,100.0,116331.5,0,27.87200548149106
15,14,10,DQN,16,100.0,101871.0,0,29.13386578339857
15,14,10,DQN,17,100.0,76544.5,0,15.69100199570438
15,14,10,DQN,18,100.0,109646.0,0,29.246366814565697
15,14,10,DQN,19,100.0,116506.0,0,27.881429598742454
15,14,10,DQN,20,100.0,124244.0,0,25.473559489485652
15,14,10,DQN,21,100.0,89317.0,0,26.526670111127544
15,14,10,DQN,22,100.0,136769.5,0,15.265790137859986
15,14,10,DQN,23,100.0,78817.5,0,17.076135993445035
15,14,10,DQN,24,100.0,117903.0,0,27.466351238668786
15,14,10,DQN,25,100.0,123693.5,0,25.88458778223604
15,14,10,DQN,26,100.0,131945.5,0,20.326847008976276
15,14,10,DQN,27,100.0,78865.5,0,20.354154660282425
15,14,10,DQN,28,100.0,120877.0,0,26.28985668863233
15,14,10,DQN,29,100.0,77856.0,0,16.67650925983578
15,14,30,DQN,0,100.0,133476.5,0,6.89174075060801
15,14,30,DQN,1,100.0,133774.5,0,5.827958187995246
15,14,30,DQN,2,100.0,133816.5,0,5.654067065877285
15,14,30,DQN,3,100.0,132370.5,0,6.331474642732185
15,14,30,DQN,4,100.0,132159.5,0,5.769709503740462
15,14,30,DQN,5,100.0,132039.5,0,9.474198137555446
15,14,30,DQN,6,100.0,133440.5,0,9.152762731318496
15,14,30,DQN,7,100.0,132691.0,0,10.490801744791217
15,14,30,DQN,8,100.0,133572.5,0,7.087722948944062
15,14,30,DQN,9,100.0,133520.0,0,5.9507370684833925
15,14,30,DQN,10,100.0,133083.0,0,6.415874476585844
15,14,30,DQN,11,100.0,133385.0,0,5.725524873625237
15,14,30,DQN,12,100.0,133907.5,0,5.6091945713523055
15,14,30,DQN,13,100.0,132065.5,0,6.690019771734145
15,14,30,DQN,14,100.0,133432.0,0,6.596237727760494
15,14,30,DQN,15,100.0,132231.5,0,5.95997995851484
