MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,DQN1200_fill_rate_mean,DQN1200_fill_rate_sd,DQN1200_fill_rate_ci95,DQN1200_cost_mean,DQN1200_cost_sd,DQN1200_cost_ci95,DQN1200_lost_demand_mean,DQN1200_lost_demand_sd,DQN1200_lost_demand_ci95,DQN1200_bullwhip_mean,DQN1200_bullwhip_sd,DQN1200_bullwhip_ci95,p_DQN1200_vs_QL_fill_rate,p_DQN1200_vs_QL_cost,p_DQN1200_vs_DQN600_fill_rate,p_DQN1200_vs_DQN600_cost
15,3,60,94.56269916444218,2.053163948674979,0.7347152831778345,127478.53333333334,8731.818823381978,3124.6412365748247,297.53333333333336,112.71347052052656,40.33399742134016,11.119917990758704,3.8186716513665098,1.366494100730508,0.0006135756912113,1.6132250444697864e-10,0.001679755516196,5.572653248454238e-10
15,3,90,82.89833367596813,2.66075080607828,0.95213744777423,85457.63333333333,4106.858458165109,1469.620425105039,938.2333333333332,145.18660604447174,51.95435972973974,18.09250001057989,1.003199912522526,0.3589904782268539,1.3434354934239156e-10,0.0098834012916858,7.380285855777027e-10,3.019859359162157e-11
15,7,60,94.62047443115138,0.973248101615157,0.348272360345085,118286.0,697.3562637710295,249.5457341061448,295.3333333333333,53.36040979352888,19.09477741280176,18.40485960470106,0.1787698003342566,0.0639719514659277,2.79129622811237e-07,3.019859359162157e-11,0.2062054870530132,3.019859359162157e-11
15,7,90,86.73587389143835,0.9997581329633758,0.3577588532292162,126287.05,720.9571983804252,257.9912200918081,725.5,60.281952465920085,21.571619648345223,16.312052248453618,0.3043648220255793,0.1089155527731772,0.0005026532328242,3.019859359162157e-11,0.9705152324130149,0.0053220778051442
15,14,60,95.15030800503958,1.0425278179951547,0.3730637884584898,128924.26666666666,540.5104664738843,193.419186369519,265.53333333333336,58.09666934089894,20.789626125100373,10.010935625287962,1.3193374162135598,0.4721188310295559,0.0034114057443013,3.019859359162157e-11,0.9116894234488524,0.004427193167173
15,14,90,87.08930788509251,1.0115020035227162,0.3619613433368269,126143.9,692.0774747342111,247.6567437093842,705.6333333333333,60.13460953866597,21.518893658980552,14.42648446783998,0.6053075423337266,0.2166065221739409,7.741914168262898e-08,3.019859359162157e-11,3.196740222802165e-09,3.019859359162157e-11
20,3,60,92.38887068855622,0.698742083428335,0.2500416433016124,124899.66666666669,4949.148067289361,1771.0298907664862,555.8333333333334,51.710122622260286,18.504229732892497,15.152030133188886,2.4990834759490377,0.894285536672262,1.3044146643707208e-05,3.019859359162157e-11,0.501143667603293,3.019859359162157e-11
20,3,90,84.15122484715448,0.794723173260273,0.2843880351916021,122622.35,850.5882665179028,304.3791020711001,1154.8333333333333,61.99782161542026,22.18563553776541,17.936147175695304,0.170102409200274,0.06087036538191,2.4633342328324192e-05,3.019859359162157e-11,5.858675152587994e-06,3.019859359162157e-11
20,7,60,92.32095411154545,0.687780842480576,0.2461192136037256,128292.03333333334,693.9668571701208,248.33285053092004,559.6,51.051427755373005,18.268518801982573,16.19299428619531,0.1840936226615731,0.0658770568187307,7.278999183547674e-05,3.019859359162157e-11,0.7787450456344235,3.019859359162157e-11
20,7,90,84.11107505635964,0.6705790867947471,0.2399636443867491,128606.46666666666,637.9230298037711,228.27782447203631,1157.7,52.28512678342303,18.70999232938157,8.860858187458048,0.1904888341444655,0.0681655538570056,8.12610039874109e-07,3.019859359162157e-11,0.5442900870175196,0.2837780479456242
20,14,60,92.43061936215514,0.7194700393226624,0.2574590470576187,131054.88333333332,657.6519974216178,235.3377448644176,551.5,52.12104611647642,18.65127681679063,8.394154602340747,0.2070792706416915,0.0741023653118188,0.1054699465217777,3.019859359162157e-11,0.2170168245486217,3.019859359162157e-11
20,14,90,82.63590586942813,2.083237919175453,0.7454771153085794,103297.53333333334,4628.698701715674,1656.3585580053734,1272.7,159.2818257052574,56.99826930705879,26.36602420058346,0.3485486870093938,0.1247265457990505,0.2771891897730478,3.019859359162157e-11,0.0011142564683557,3.019859359162157e-11
25,3,60,90.8173618460606,0.8258113527782172,0.2955127973581842,132237.81666666668,469.0808048052932,167.85841021523072,838.0333333333333,74.7651418562261,26.75436241035608,5.841123273817071,0.2615024306411513,0.0935774430016646,7.182142005153735e-05,3.019859359162157e-11,1.996277539008408e-05,3.019859359162157e-11
25,3,90,82.66631415660764,0.8208305873627125,0.2937304533446647,124401.13333333332,625.6296956602636,223.878711346036,1582.1,73.95494900788333,26.46443862303117,14.077086151143543,0.4068177830695174,0.145577874033193,1.6902407520268903e-08,3.017966798490446e-11,1.2860392091779295e-06,3.017966798490446e-11
25,7,60,88.01946953668975,1.724023248943639,0.61693379643172,89916.9,2349.6500964743814,840.8114885876962,1093.7333333333331,156.99262739845864,56.17909021358439,19.24367504168497,0.4539105080134704,0.16242978922737,0.795845542466455,1.4109773081080244e-09,0.2707053377245183,3.019859359162157e-11
25,7,90,82.28878332125883,0.8977334162716749,0.3212497772425388,130425.36666666668,612.7610764250691,219.2737350938495,1618.8,84.80094339097886,30.345627867399067,13.935310677670994,0.4548708153263466,0.1627734307859377,0.0701265940712882,3.019859359162157e-11,0.4642729106216152,4.308759361302148e-08
25,14,60,90.01406719655388,0.9553488443166452,0.3418671933815622,122033.46666666666,866.6232917969937,310.1171621740422,914.0333333333332,87.07051574812037,31.15778390498483,13.995206914717144,0.1709426437206156,0.0611710394434953,3.019859359162157e-11,3.017966798490446e-11,0.1259701931709723,3.8180290756792775e-10
25,14,90,82.25260693638603,0.9979214040335708,0.3571015882228569,130763.16666666669,720.1847384326221,257.7147988495298,1619.8,89.03366275431038,31.86028703899097,4.83098360506863,0.1223545632956921,0.0437840181627528,4.0771648468253186e-11,3.019859359162157e-11,0.1668661704632597,3.019859359162157e-11
