MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,LOW_best_FR,LOW_best_cost,LOW_QL_advantage_pp,LOW_QL_cost_premium_pct,BASE_best_FR,BASE_best_cost,BASE_QL_advantage_pp,BASE_QL_cost_premium_pct,HIGH_best_FR,HIGH_best_cost,HIGH_QL_advantage_pp,HIGH_QL_cost_premium_pct
15,3,10,QL,ROP,19.54622984988632,720.4443117208588,QL,ROP,12.84838768553415,272.7608896545429,QL,"(s,S)",19.54622984988632,241.3416664436611
15,3,30,QL,ROP,22.65176810344785,504.3300163106136,SARSA,ROP,8.610236929765676,265.30287477966635,QL,"(s,S)",22.65176810344785,189.4318691993693
15,3,60,DQN,ROP,24.381644327034092,401.08786585093424,QL,ROP,12.07614950154658,289.21004207047343,DQN,"(s,S)",24.262381126202925,86.910836324987
15,3,90,QL,ROP,24.45789002432734,394.7674799947528,QL,ROP,10.495393099086996,289.2447144634757,SARSA,"(s,S)",24.299796691796857,95.399771353726
15,7,10,QL,ROP,25.532132318121995,758.3740444853152,QL,ROP,17.555554854243567,267.174842303562,QL,"(s,S)",25.532132318121995,192.2489882767576
15,7,30,QL,ROP,30.487713384121847,650.6347087513265,QL,ROP,17.242513043723804,284.5756624210563,QL,"(s,S)",30.487713384121847,143.98473155854424
15,7,60,QL,ROP,30.718680856059123,511.7435990999209,SARSA,ROP,16.867393610416357,272.58948730676013,SARSA,"(s,S)",30.630503423953613,108.4838976409535
15,7,90,DQN,ROP,29.3130374989754,408.9639441859421,SARSA,ROP,12.39116553601147,254.0617396107085,QL,"(s,S)",29.34618641339797,80.0004100243092
15,14,10,SARSA,ROP,36.007450055199634,753.5588051265688,QL,ROP,27.811653340028585,191.22131361186013,QL,"(s,S)",36.10040140135171,129.97170282233498
15,14,30,QL,ROP,39.23108555145139,548.6401654292764,DQN,ROP,28.614197842551132,185.82218955943665,DQN,"(s,S)",39.22985983593996,61.46685995346649
15,14,60,SARSA,ROP,39.56100072948851,515.9033982399401,SARSA,ROP,25.652025992454213,184.81705577623345,SARSA,"(s,S)",39.346405200828855,74.40017572540873
15,14,90,QL,ROP,36.89464665406339,391.30321530550754,QL,ROP,25.83059492305469,163.9381119102029,QL,"(s,S)",36.87498771399933,52.7450119717394
20,3,10,QL,ROP,30.595590670935263,498.7733196082381,SARSA,ROP,21.98897403303964,196.66538099335293,QL,"(s,S)",30.595590670935263,103.15511169657724
20,3,30,DQN,ROP,34.85567338211503,580.0257463413978,DQN,"(s,S)",23.642983403490437,197.7886472889764,DQN,"(s,S)",34.2374757181432,34.09497919742953
20,3,60,QL,ROP,32.80426983542024,454.6447038289517,SARSA,ROP,19.484848489510355,189.8267833169296,SARSA,"(s,S)",32.42770150507893,37.10114687218377
20,3,90,QL,ROP,28.733473923751237,362.5956680410181,QL,"(s,S)",19.0254371399854,181.5835521031552,SARSA,"(s,S)",27.98895663058961,31.473518115969988
20,7,10,QL,ROP,38.810678197582845,663.6029411764706,QL,"(s,S)",30.43641731083767,147.8031130079677,SARSA,"(s,S)",38.80517915991443,68.40034970384097
20,7,30,QL,ROP,42.32747383139968,567.5600716402876,QL,"(s,S)",29.176173405287656,145.9613735730681,SARSA,DQN,42.24538235985272,49.00323903210099
20,7,60,SARSA,ROP,38.918713679446654,447.91153057462793,QL,"(s,S)",27.867348775714376,130.63735083823423,SARSA,"(s,S)",38.36833921031642,13.654678852943114
20,7,90,QL,ROP,35.95741217436438,337.463096503358,QL,"(s,S)",24.04442144776175,143.00267329459473,SARSA,"(s,S)",35.70252808762413,30.206698426938395
20,14,10,SARSA,ROP,47.31789173143739,667.4259012115286,DQN,"(s,S)",38.12331948621205,67.28706297164165,SARSA,"(s,S)",47.31789173143739,43.31004817475522
20,14,30,DQN,ROP,48.702499810249776,391.8308023092421,DQN,"(s,S)",33.6189159871635,54.50153765395112,SARSA,"(s,S)",49.24833906698373,31.05207599117122
20,14,60,SARSA,ROP,45.76345829761794,442.0819801222237,DQN,"(s,S)",33.83055805177906,50.36213488868779,SARSA,"(s,S)",45.776040673518736,25.0575490189905
20,14,90,SARSA,ROP,42.35567726625078,359.8889156586147,SARSA,"(s,S)",25.28236122437898,60.14079335082801,SARSA,"(s,S)",41.65963457162741,-3.127291038143702
25,3,10,SARSA,ROP,41.79468376258058,405.9385826307991,SARSA,"(s,S)",31.23842350006696,90.97545748614044,SARSA,DQN,41.84061444029973,28.62053752724441
