MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,Run,fill_rate,cost,lost_demand,bullwhip
15,3,60,DQN_1200,0,95.15583927900865,130476.5,258,9.15590587394566
15,3,60,DQN_1200,1,95.39534030453127,124962.5,251,14.206388702005212
15,3,60,DQN_1200,2,95.6125673917085,122659.5,236,15.485552602369832
15,3,60,DQN_1200,3,95.43739895814622,131372.5,254,8.674164710270636
15,3,60,DQN_1200,4,94.2412169503803,122817.5,318,15.065337984325902
15,3,60,DQN_1200,5,93.87717690192484,130382.5,334,9.269563846875588
15,3,60,DQN_1200,6,96.43121301775147,130618.0,193,8.830677179486392
15,3,60,DQN_1200,7,93.74548083875632,130592.0,346,9.1849630037699
15,3,60,DQN_1200,8,87.5,122771.5,691,16.808987638408222
15,3,60,DQN_1200,9,95.61514767167964,85288.5,242,24.53342688742867
15,3,60,DQN_1200,10,95.81742134933624,131421.0,230,8.76184201660034
15,3,60,DQN_1200,11,93.7580084202819,131071.0,341,9.205642529540516
15,3,60,DQN_1200,12,96.7918337586584,130609.0,176,8.86545878915062
15,3,60,DQN_1200,13,94.22362555720652,128426.5,311,10.87605670706138
15,3,60,DQN_1200,14,88.50257542310523,117390.0,625,18.78041724931977
15,3,60,DQN_1200,15,94.03803950256037,131059.0,326,9.210805156551244
15,3,60,DQN_1200,16,95.25909592061744,131096.0,258,8.638468110387194
15,3,60,DQN_1200,17,91.89979886633752,129422.0,443,11.9397792543255
15,3,60,DQN_1200,18,95.31534815895006,130871.5,257,9.000879143622775
15,3,60,DQN_1200,19,93.75,129871.5,342,9.414989200343491
15,3,60,DQN_1200,20,95.03173164097916,128923.0,274,11.00651757078922
15,3,60,DQN_1200,21,95.0286453520606,123902.5,269,14.68051797643891
15,3,60,DQN_1200,22,95.90361445783132,131561.5,221,8.334803148041784
15,3,60,DQN_1200,23,95.85660241397946,130877.5,230,8.443365648191994
15,3,60,DQN_1200,24,95.6458104646908,130496.5,238,9.39224009575928
15,3,60,DQN_1200,25,95.00920810313076,130660.5,271,10.807747499705435
15,3,60,DQN_1200,26,94.60990316097204,130834.5,295,9.111116705085392
15,3,60,DQN_1200,27,96.38746236939969,131313.5,204,8.443661974219008
15,3,60,DQN_1200,28,95.35137098238606,131540.0,256,8.707991223744525
15,3,60,DQN_1200,29,95.68949771689498,131068.0,236,8.760271294996754
15,3,90,DQN_1200,0,82.00557103064067,91087.0,969,16.310231273986318
15,3,90,DQN_1200,1,86.4311219695546,80011.0,722,17.17220410233956
15,3,90,DQN_1200,2,83.9063643013899,86717.0,880,17.418065436936352
15,3,90,DQN_1200,3,78.16875460574796,82948.5,1185,16.88124827853516
15,3,90,DQN_1200,4,84.87455197132616,88000.5,844,18.12310302007494
15,3,90,DQN_1200,5,82.50765627814808,94770.0,971,16.907091793808032
15,3,90,DQN_1200,6,81.38686131386861,85408.5,1020,18.602114299410477
15,3,90,DQN_1200,7,82.63712313839447,87699.0,956,19.34551827621497
15,3,90,DQN_1200,8,82.78718041051495,80376.5,956,19.08883342804991
15,3,90,DQN_1200,9,81.92350128723795,83608.5,983,17.585897100195524
15,3,90,DQN_1200,10,84.34890744359566,85719.5,881,18.173286522495346
15,3,90,DQN_1200,11,84.49149475208108,79452.5,857,18.65811758587604
15,3,90,DQN_1200,12,83.345507669832,94025.5,912,17.632288685916432
15,3,90,DQN_1200,13,85.57548579970104,86209.0,772,17.375350241700673
