R_value,s_value,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_ci95,p_QL_vs_ROP
60,60,20,3,60,"(s,S)",64.22149195018885,2.1124926970520503,0.7559458031236856,46700.88333333333,533.8940056402201,
60,60,20,3,90,ROP,49.212906265483376,2.5107462076249045,0.8984589916033169,53905.45,555.5011702758087,2.2622576527640783e-11
60,60,20,3,90,"(s,S)",58.12644827808574,1.9402927655542253,0.694324849027313,52648.5,491.6355083619356,
60,60,20,7,10,ROP,56.87361270420865,2.3631754936161813,0.8456514897953656,41576.6,510.9164805448361,2.3656735830142044e-12
60,60,20,7,10,"(s,S)",67.94813057572544,2.568532527586605,0.9191375606293634,40172.7,491.2796095692176,
60,60,20,7,30,ROP,53.94209237545216,2.1066109277645104,0.7538410390153587,45273.38333333333,538.7071527334175,2.3981963008797618e-11
60,60,20,7,30,"(s,S)",64.00841790461673,1.9406710894568788,0.6944602304971903,44036.76666666667,425.9964343358771,
60,60,20,7,60,ROP,49.3171049636538,2.1022973086082364,0.7522974302246587,50816.21666666667,525.5485333281665,2.6286126789143316e-11
60,60,20,7,60,"(s,S)",58.600770609946906,2.0588464664573443,0.7367487460507472,49578.0,468.65552873735726,
60,60,20,7,90,ROP,44.30882704327975,2.021026016225282,0.7232148717490406,56621.13333333333,531.1598876334161,2.2622576527640783e-11
60,60,20,7,90,"(s,S)",52.95282161112401,1.987157558112825,0.7110951996649144,55267.01666666667,430.8711457431417,
60,60,20,14,10,ROP,49.53206506974666,2.235032704293301,0.7997961815501,45795.15,550.473000829266,3.019859359162157e-11
60,60,20,14,10,"(s,S)",60.183707556138046,2.0972888959058125,0.7505051927565756,43808.316666666666,451.5820274683199,
60,60,20,14,30,ROP,46.92662318523771,1.767186991636576,0.6323797433840433,49220.36666666667,509.6482632199949,3.019859359162157e-11
60,60,20,14,30,"(s,S)",57.57189444158859,1.9229391951483488,0.6881149536104718,46814.3,517.4473913352276,
60,60,20,14,60,ROP,42.476359651055326,1.878869981860751,0.6723449881671777,54663.66666666666,509.226712323455,3.019859359162157e-11
60,60,20,14,60,"(s,S)",52.47043412838093,2.3513903230077644,0.8414342206549981,52189.78333333333,590.6723792508193,
