MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,DQN_fill_rate_mean,DQN_fill_rate_sd,DQN_fill_rate_ci95,DQN_cost_mean,DQN_cost_sd,DQN_cost_ci95,DQN_lost_demand_mean,DQN_lost_demand_sd,DQN_lost_demand_ci95,DQN_bullwhip_mean,DQN_bullwhip_sd,DQN_bullwhip_ci95,p_DQN_vs_ROP_fill_rate,p_DQN_vs_ROP_cost,p_DQN_vs_ROP_lost_demand,p_DQN_vs_ROP_bullwhip
15,3,10,100.0,0.0,0.0,66398.93333333333,763.9992748386761,273.3936293411982,0.0,0.0,0.0,7.062821640309607,0.0393743866023614,0.0140899432902944,1.2117803970059759e-12,3.017966798490446e-11,1.2107913587996517e-12,2.900893911357344e-11
15,3,30,97.51187982460377,2.1191482643929,0.7583274673091965,68329.75,7339.881620474965,2626.5429055284512,136.46666666666667,116.13272232838726,41.557560966711165,23.097941160532624,3.848485282294567,1.3771627715417225,2.721825672844365e-11,3.019859359162157e-11,2.7183839377020486e-11,2.963550988338225e-11
15,3,60,93.90737430091704,0.9874435570443408,0.3533521388314654,102020.31666666668,626.7173713132157,224.26793107974504,333.5,56.02447125417914,20.04809956309959,17.46238211140162,0.4055856288788162,0.1451369533187396,8.152744512218774e-11,3.019859359162157e-11,8.147855301787337e-11,2.971003012292458e-11
15,3,90,86.54438888508508,0.9598760526535997,0.3434872340789634,116227.36666666668,951.4443370144056,340.4699833876471,739.7,53.781261959264526,19.245377426173327,23.14654659406616,0.3698256612870298,0.1323404132603652,0.3328546915727283,3.019859359162157e-11,0.33649123756121,2.8430291171417167e-11
15,7,10,98.06259834312236,0.5540203040678227,0.1982536196644941,131728.28333333333,818.1373049266508,292.7666746026086,106.3,29.82841736932452,10.67396207126719,16.84331780826166,0.4594582044336332,0.1644150068954257,3.019859359162157e-11,3.019859359162157e-11,3.0104073709630884e-11,2.9859583708698266e-11
15,7,30,100.0,0.0,0.0,134184.96666666667,742.2812220740049,265.62192397039024,0.0,0.0,0.0,10.3327914893348,0.7641491827880224,0.2734472732119303,1.2117803970059759e-12,3.017966798490446e-11,1.2107913587996517e-12,0.5491435899195221
15,7,60,94.95058102786533,0.9916194598124378,0.3548464664455683,129422.46666666666,684.9381413465485,245.10196606729545,276.46666666666664,55.32333381465561,19.79720075262781,16.418489279404064,0.3464007705391827,0.1239579237615011,3.019859359162157e-11,3.019859359162157e-11,3.0141849228072565e-11,2.9672748660399936e-11
15,7,90,86.72927294213564,1.0282952315519531,0.3679707228093884,126695.15,680.2336711849783,243.4184930406089,725.9666666666667,61.669577439846265,22.068174868068787,10.989575874003483,0.2566026357439748,0.0918240739160075,1.0701785878647307e-09,3.019859359162157e-11,1.6938476898411244e-09,2.5876962594604184e-08
15,14,10,100.0,0.0,0.0,104508.28333333334,17603.575689224745,6299.358658522123,0.0,0.0,0.0,25.18920008066286,4.401776100703415,1.5751553481156964,1.2117803970059759e-12,3.019859359162157e-11,1.2117803970059759e-12,2.984085202574315e-11
15,14,30,100.0,0.0,0.0,133136.01666666666,730.9946280680645,261.5830681758789,0.0,0.0,0.0,6.865432588195666,1.5071951801969783,0.5393428685212064,1.2117803970059759e-12,3.019859359162157e-11,1.209803065666898e-12,3.321332820569348e-08
15,14,60,95.18812086633972,1.031459619985969,0.3691030846677207,129337.38333333332,553.1253627831786,197.9333690387226,263.43333333333334,57.43883303332237,20.55422242569405,10.546523673342689,0.3896258162958916,0.1394258077334608,3.019859359162157e-11,3.019859359162157e-11,3.0141849228072565e-11,6.67124548824844e-11
15,14,90,82.13485468337868,2.812225305737979,1.0063419013365082,81558.03333333334,1430.113498831554,511.7595430937511,978.4,153.14149418553845,54.80097989223755,21.03110218771456,0.6734278819945888,0.240983072656624,3.019859359162157e-11,3.019859359162157e-11,3.019859359162157e-11,2.995340313113173e-11
