ratio,c_l_over_c_h,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_sd,koszt_ci95,utracono_mean,bullwhip_mean,p_vs_ROP_fr,p_vs_ROP_k
BASE,20,20,3,90,QL,95.76325814139928,7.62730002319697,3.85994637960559,87059.53333333334,14545.040619531095,7360.806145008968,309.0,20.51038128465356,4.0961082023714014e-06,3.391821390825095e-06
BASE,20,20,3,90,SARSA,92.11160877995972,7.617393063297345,3.854932766153758,104882.5,10016.945144888949,5069.273665534342,573.2,18.2627530242837,6.006884994218153e-06,3.391821390825095e-06
BASE,20,20,3,90,DQN,82.49617543853182,1.4656580912546937,0.7417253321453742,100808.26666666666,686.5522523727493,347.443377459471,1279.4,9.923559829499062,9.073400856319234e-06,3.391821390825095e-06
BASE,20,20,7,10,ROP,69.56358268916233,2.926413477208221,1.480969553082332,34380.46666666667,1793.1809771093008,907.474781314488,2219.266666666667,9.5846263051108,,
BASE,20,20,7,10,"(s,S)",76.3885644838593,2.816985578057702,1.4255913954289965,33284.23333333333,1541.4772699620075,780.0951305623636,1725.9333333333334,13.700331094783037,2.3290004782067234e-05,0.081494648393455
BASE,20,20,7,10,QL,100.0,0.0,0.0,85195.86666666667,10154.28677327017,5138.778119223976,0.0,20.33784542123274,6.86615554782638e-07,3.391821390825095e-06
BASE,20,20,7,10,SARSA,100.0,0.0,0.0,103470.7,15392.036442589391,7789.445172031872,0.0,18.00835928277856,6.86615554782638e-07,3.391821390825095e-06
BASE,20,20,7,10,DQN,100.0,0.0,0.0,135783.4,657.7329625311476,332.8588045242807,0.0,14.396023696596457,6.86615554782638e-07,3.391821390825095e-06
BASE,20,20,7,30,ROP,70.33856018866837,2.8789795654360524,1.456964681704692,33705.76666666667,1707.160778547095,863.9425545758879,2152.6,9.60744970046606,,
BASE,20,20,7,30,"(s,S)",76.73712927005367,2.4569915346247764,1.24340927326225,33115.2,1352.1718878477377,684.293389171633,1701.1333333333334,13.76294351888636,1.6053092802023668e-05,0.5338294217441396
BASE,20,20,7,30,QL,99.51473359395602,0.8256541856853017,0.4178386683557209,82903.16666666667,11432.90011431087,5785.845747566305,35.6,19.16108474871014,2.737821349395807e-06,3.391821390825095e-06
BASE,20,20,7,30,SARSA,98.55591078526344,1.155025626578442,0.5845236154476627,101507.76666666666,14493.98660635638,7334.969249552024,106.26666666666668,16.086655246821884,3.383339412654217e-06,3.391821390825095e-06
BASE,20,20,7,30,DQN,94.2362459219098,9.513672473520115,4.814582553358804,105965.86666666668,18114.95873429576,9167.433976701175,421.8,11.090687065554947,3.1051969694601048e-06,3.391821390825095e-06
BASE,20,20,7,60,ROP,69.80689949190064,2.0756979211574147,1.050448081438936,34149.166666666664,1295.6188629744622,655.6736098327515,2194.6,9.570735363178184,,
