R_value,Method,fill_rate_mean,fill_rate_min,fill_rate_max,koszt_mean,sig_QL_vs_ROP
60,ROP,51.6771853797375,32.83058066635538,74.61158835702373,49281.69398148148,36
60,"(s,S)",61.49728843106308,41.645475133261215,83.28346035167823,47746.045370370375,0
80,ROP,55.4117685890879,34.249091722888,80.56701391797151,47445.84675925926,36
80,"(s,S)",63.83001354227562,43.43378939435559,85.47407012004828,46261.48101851851,0
100,ROP,59.88709923815866,36.54447000990892,86.72591816920891,45317.89027777778,36
100,"(s,S)",64.96030954706663,42.194813295282025,89.77605763724928,44550.0050925926,0
