MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,"(s,S)_fill_rate_mean","(s,S)_fill_rate_sd","(s,S)_fill_rate_ci95","(s,S)_cost_mean","(s,S)_cost_sd","(s,S)_cost_ci95","(s,S)_lost_demand_mean","(s,S)_lost_demand_sd","(s,S)_lost_demand_ci95","(s,S)_bullwhip_mean","(s,S)_bullwhip_sd","(s,S)_bullwhip_ci95",QL_fill_rate_mean,QL_fill_rate_sd,QL_fill_rate_ci95,QL_cost_mean,QL_cost_sd,QL_cost_ci95,QL_lost_demand_mean,QL_lost_demand_sd,QL_lost_demand_ci95,QL_bullwhip_mean,QL_bullwhip_sd,QL_bullwhip_ci95,ROP_fill_rate_mean,ROP_fill_rate_sd,ROP_fill_rate_ci95,ROP_cost_mean,ROP_cost_sd,ROP_cost_ci95,ROP_lost_demand_mean,ROP_lost_demand_sd,ROP_lost_demand_ci95,ROP_bullwhip_mean,ROP_bullwhip_sd,ROP_bullwhip_ci95,SARSA_fill_rate_mean,SARSA_fill_rate_sd,SARSA_fill_rate_ci95,SARSA_cost_mean,SARSA_cost_sd,SARSA_cost_ci95,SARSA_lost_demand_mean,SARSA_lost_demand_sd,SARSA_lost_demand_ci95,SARSA_bullwhip_mean,SARSA_bullwhip_sd,SARSA_bullwhip_ci95,p_QL_vs_ROP_fill_rate,p_SARSA_vs_ROP_fill_rate,p_QL_vs_SARSA_fill_rate,p_QL_vs_ROP_cost,p_SARSA_vs_ROP_cost,p_QL_vs_SARSA_cost,p_QL_vs_ROP_lost_demand,p_SARSA_vs_ROP_lost_demand,p_QL_vs_SARSA_lost_demand,p_QL_vs_ROP_bullwhip,p_SARSA_vs_ROP_bullwhip,p_QL_vs_SARSA_bullwhip
15,3,10,90.66399572292046,2.0904206960432616,0.7608355010447608,25631.13333333333,723.5421426718848,263.3424696228566,510.5,115.64219241551358,42.08946341514361,14.692648966735756,0.2357789493940006,0.0858147814157879,100.0,0.0,0.0,88179.26666666666,13375.005277714432,4868.005211203468,0.0,0.0,0.0,19.51597434868658,4.696093025640301,1.709203461714054,87.73953810930797,2.125511078572195,0.7736070971276866,23073.783333333333,788.5914941984995,287.01801782952447,671.4,117.244075898671,42.672489513588914,10.870304673798652,0.1353971572771834,0.0492795369812441,100.0,0.0,0.0,106273.21666666666,13776.559885474153,5014.156175825077,0.0,0.0,0.0,22.87655191382384,5.6114838935754126,2.042371742613429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0095
15,3,30,91.39322955810096,2.6004481244893367,0.946466544022298,25460.483333333334,928.2878817419136,337.8623149664186,470.3333333333333,140.79449168518238,51.24396626401428,14.732496159070712,0.2716928430171553,0.0988861049541364,97.50519691425558,13.13727004223339,4.781478414302932,87856.63333333333,15880.9892444464,5780.090309933851,139.7,735.9538549845817,267.8598719687712,19.43752581005453,3.685809046549614,1.3414976124159326,87.08409791632245,2.132373121415706,0.7761046258858525,23209.733333333334,790.7842281909494,287.81609157083466,706.5,114.9483217218358,41.83692025104087,10.834192127663414,0.1663563888184932,0.0605475475239439,99.90624063933475,0.36551328841554,0.1330332628530388,107240.83333333331,11985.29537067077,4362.202414936783,5.1,19.873516716139267,7.233222038446717,22.4969929215215,3.671895395598781,1.3364335601834918,0.0,0.0,0.9864,0.0,0.0,0.0,0.0,0.0,0.9864,0.0,0.0,0.0037
15,3,60,90.34402461250698,2.5993092725405047,0.946052044206665,25643.85,801.7455555432368,291.80560765435735,528.6666666666666,144.38336315363884,52.55018219799191,14.662642475003988,0.2429490106103766,0.0884244174227451,97.693355369881,3.0875081857794564,1.1237383182981546,88378.91666666667,13921.647376228706,5066.962634320495,127.2,170.16960167237076,61.93541539080999,20.508447886229767,3.275810655809537,1.1922734243677022,87.8454809466223,2.33269493485462,0.8490143265917802,23008.68333333333,776.5775179522576,282.64537664100646,665.1333333333333,129.76947081480895,47.2312681053055,10.870751260767957,0.1813638251313684,0.0660096970080721,99.1750685174996,1.455154857973784,0.5296223279647866,109172.65,11934.658336926394,4343.772415170111,44.93333333333333,79.1689894396088,28.81457204356225,21.77923264714063,4.754747574467369,1.7305515392229809,0.0,0.0,0.1995,0.0,0.0,0.0,0.0,0.0,0.2023,0.0,0.0,0.2772
15,3,90,90.88407471570645,1.7456436647528375,0.6353494656992964,25390.85,728.9290906299917,265.3031186235893,499.03333333333336,96.5948526348871,35.15693909934779,14.704284523806844,0.2097633109107644,0.0763460551551564,97.10357605719112,5.140729246008239,1.8710345333957552,91052.35,15929.104384297108,5797.602433979237,158.86666666666667,281.940505938556,102.61587368829572,19.97494308980608,3.9403087384953976,1.4341260488851153,87.11044964877894,2.4846562438658992,0.9043225996584672,23223.233333333334,782.3814578295905,284.7577952144365,705.9333333333333,138.27169711196223,50.32576272882059,10.822429520436431,0.1676986538345174,0.0610360821418486,95.83762102886608,6.0457952133358805,2.2004449339116308,106714.3,9242.6796778135,3363.992155730136,228.3,331.60098009505344,120.69044203164188,22.18185928096295,3.8095851405884025,1.3865475139518368,0.0,0.0,0.4873,0.0,0.0,0.0,0.0,0.0,0.472,0.0,0.0,0.0501
15,7,10,86.34673160742412,2.2101432052477583,0.8044100482396639,25694.816666666666,702.9955012105144,255.8642551750957,747.3666666666667,121.29261679462972,44.14600804835432,14.362215987842502,0.2447957413573138,0.089096558832271,100.0,0.0,0.0,91496.35,13372.47136418072,4867.082960779582,0.0,0.0,0.0,20.84160455504809,5.170856309219416,1.8819996655706657,82.3804461213528,2.6565456321276457,0.9668839534997976,23866.466666666667,926.1701691493968,337.0915462286013,963.2333333333332,147.65696356382549,53.74165117503515,10.52825019940743,0.1600396037588328,0.0582484723497669,100.0,0.0,0.0,106889.25,12395.239930278343,4511.407010451918,0.0,0.0,0.0,20.384519513334,5.014752945553779,1.825183838433993,0.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,1.0,0.0,0.0,0.8187
15,7,30,86.20578855122008,1.969238827258771,0.716729801159229,25821.93333333333,674.8928894441119,245.6359481436796,754.5333333333333,104.44543498348258,38.01425952580188,14.31795804179461,0.2506107142265651,0.0912129930050252,99.91536694474672,0.4557629506703128,0.1658807882964577,91311.43333333332,14975.94880507483,5450.689200645949,4.666666666666667,25.13076909996101,9.146666666666665,21.65091141717652,3.783984370235812,1.3772297842837309,82.46445091787135,2.1916337172770075,0.7976732820083671,23763.766666666663,783.509059013076,285.1682001693049,958.6,122.79131348212977,44.69147798524621,10.532938335565705,0.125288160956083,0.0456002377399086,98.60973138491772,7.296712649182468,2.6557324250225927,100664.71666666666,8894.478070394138,3237.259701852814,76.6,402.0490517337405,146.3309238659015,22.402725798032257,3.31247458198778,1.2056177319020145,0.0,0.0,0.5703,0.0,0.0,0.0095,0.0,0.0,0.5703,0.0,0.0,0.3555
15,7,60,86.9426441237504,1.72775656865234,0.6288392269948972,25614.033333333333,563.9489624267627,205.25647885317304,714.4666666666667,95.92765792802176,34.91410500377404,14.38080329794296,0.1912574789209555,0.0696106195651497,98.13503510295952,2.945077811159213,1.071898951397846,90309.2,11706.513540617749,4260.736181966528,102.53333333333332,163.5988454183654,59.54390413366365,21.0878874904873,4.306309677434813,1.5673367984188824,82.13300113546622,2.4770972956118547,0.9015714232119638,23908.716666666667,852.5311204811758,310.28966725945725,976.6666666666666,137.29999595371038,49.97209959345091,10.4962119873392,0.1632556551700935,0.0594189956284082,99.17863345847066,1.446313006401509,0.5264042223538498,106897.85,9459.908231716629,3443.055282096492,45.06666666666667,79.62827526841343,28.98173502866988,21.80503584673947,3.0638782383840413,1.1151378949956676,0.0,0.0,0.2403,0.0,0.0,0.0,0.0,0.0,0.2369,0.0,0.0,0.7845
15,7,90,86.26411159031211,2.316610834387094,0.843160311339622,25722.983333333334,783.0630826369539,285.00588133069834,751.4,126.627432520235,46.08768285250023,14.309057206327992,0.2601668439628872,0.0946910693414034,94.09459410928274,6.897675219271009,2.510497619656881,85762.15,11311.1355480267,4116.833275884292,323.06666666666666,376.62996281348734,137.07931949203154,21.88552794744124,3.5451440408484047,1.2903007742413413,82.50097263925944,2.445314648027566,0.8900037198089636,23773.08333333333,1008.5529244362384,367.0758096903782,957.8,136.96943698017694,49.851788403110525,10.53312464772606,0.1616083172604653,0.0588194258067765,93.92005194800184,6.873205725607568,2.501591632691208,101922.7,10026.38575675868,3649.2320638379633,333.6666666666667,377.8045644098135,137.50683085171158,22.02293003484152,3.5460785540733464,1.2906409023500405,0.0,0.0,0.6252,0.0,0.0,0.0,0.0,0.0,0.5927,0.0,0.0,0.947
15,14,10,76.67560166746365,2.087089480178033,0.7596230621817572,28627.0,850.755869800497,309.64354193948174,1276.1666666666667,116.80013793751368,42.51091258232849,13.556117340145487,0.2101426451793241,0.0764841187415098,99.9962921764924,0.0199672406642011,0.0072673340748987,81767.83333333333,11454.208421895515,4168.906488650474,0.2,1.0770329614269007,0.3919999999999999,21.2783244520901,3.9533821625563794,1.4388842897333016,70.53687042257742,2.721348916120418,0.9904699422623998,27916.116666666665,1014.9476889913534,369.4032665049626,1616.0,153.3560128154963,55.81589345606545,9.79492621596818,0.1978735890291132,0.0720186379408936,100.0,0.0,0.0,95315.68333333332,12651.55597577055,4604.696532157763,0.0,0.0,0.0,21.63446686627469,3.788739531020568,1.378960486216153,0.0,0.0,0.3337,0.0,0.0,0.0001,0.0,0.0,0.3337,0.0,0.0,0.7618
15,14,30,76.18258321600892,2.2101511231704216,0.804412930069464,28739.766666666663,809.7613509890156,294.7230595126388,1302.7666666666669,124.3647011369741,45.26413266044005,13.515122926971172,0.2256215842576414,0.0821178777219792,99.5104805236383,1.0412530023736162,0.3789774236711328,78388.63333333333,10966.573029691435,3991.425315288099,27.266666666666666,58.22538583432105,21.191878117467404,23.1362012884526,3.019508671381069,1.0989890203668702,69.77505469978388,2.6834733831197206,0.9766846548403668,28223.13333333333,967.011021424035,351.95609974277414,1657.9333333333334,150.10195053881063,54.631535634025525,9.76662018765716,0.173415809104038,0.0631169143409699,99.79624530740382,0.5224400799357851,0.1901487871490063,98967.58333333331,15198.710280855705,5531.766105098728,11.2,28.62330053179285,10.417818405109536,19.91800045419225,5.204856011829169,1.8943742946677788,0.0,0.0,0.1026,0.0,0.0,0.0,0.0,0.0,0.1045,0.0,0.0,0.0364
